,cluster,rest_enrich,stim8hr_enrich,stim48hr_enrich,rest_p,stim8hr_p,stim48hr_p,cluster_gene_size,rest_fdr,stim8hr_fdr,stim48hr_fdr
95,14,0.40865483541815384,0.6589734769916166,0.2144654345445712,0.0011001100110011,0.0,0.08650865086508651,4,0.04937243381852864,0.0,0.971127826501198
96,75,0.7748361813258697,0.14756041660150068,-0.05190306991220286,0.0,0.24592459245924592,0.5583558355835584,4,0.0,0.9979903283559489,0.9999999844548499
97,56,0.41909736608432124,0.22238247942336276,0.051779298706875115,0.0,0.09000900090009001,0.327032703270327,2,0.0,0.9287083434495168,0.9999930845762413
98,40,0.22667854682855085,0.18130353952836845,0.5018594460878618,0.06870687068706871,0.1255125512551255,0.0,4,0.8818069424065337,0.9732485901465158,0.0
99,110,-0.0010635335873058391,-0.010445395883694805,0.7713321965822787,0.4888488848884888,0.5091509150915091,0.0,5,0.9999475953762901,0.9994202330074721,0.0
100,98,0.13984314965343783,0.28943282989061697,0.6570188844339057,0.1115111511151115,0.0027002700270027003,0.0,7,0.9675729483438921,0.10493668091470262,0.0
101,46,0.6473279912870895,0.606217914130026,0.27329735349723167,0.0,0.0,0.0053005300530053,6,0.0,0.0,0.23335496784411694
102,13,0.3674227770485152,0.3880801842424615,0.09467689213878795,0.0015001500150015,0.0,0.29552955295529554,2,0.06392170746522616,0.0,0.9999904616840465
103,94,0.07382173655179208,0.003301479299841884,0.6928983748596789,0.32813281328132815,0.4880488048804881,0.0,6,0.9999284182441683,0.9994202330074721,0.0
104,5,0.2101949860910515,0.23071413734347665,0.23048240117376967,0.0009000900090009,0.0,0.0,2,0.04144015338515086,0.0,0.0
105,11,0.3827697832389462,0.4306178217935919,0.33693474143395463,0.0005000500050005,0.0,0.013701370137013702,2,0.024698625392471064,0.0,0.469863420689479
106,4,0.22081731289210868,0.2657807061712298,0.29647243698671844,0.027402740274027403,0.0005000500050005,0.0,2,0.6112025436134354,0.0232340625556185,0.0
107,12,0.06674551346423147,0.35151232906416346,0.3853767098548383,0.3491349134913491,0.0038003800380038005,0.00040004000400040005,2,0.9999284182441683,0.1379975562939622,0.02098308835326225
108,72,0.8574136388294977,0.15978389640193288,-0.0048034285219978,0.0,0.2901290129012901,0.4882488248824883,4,0.0,0.9989441832863567,0.9999999588846463
109,65,0.3520060699294729,0.38730357447795005,0.33263832586571995,0.0,0.0,0.0,4,0.0,0.0,0.0
110,83,0.35790670707030997,0.32673130462005634,0.4398562703045113,0.0,0.0,0.0022002200220022,6,0.0,0.0,0.10625506058186908
111,70,0.1364658181843118,0.40664607161957017,0.050183557461423806,0.25782578257825783,0.0033003300330033004,0.41114111411141113,3,0.9995703127734872,0.12386187661662518,0.9999996366589035
112,23,0.33286639628079945,0.49298593381402384,0.08716099858960093,0.0014001400140014,0.0,0.3175317531753175,4,0.06110389544049671,0.0,0.9999928128626727
