gene_name,direct_effect,lm_coef,tf,condition
PLAAT4,1.1294898186000288,-0.07236623258430049,GATA3,Stim48hr
PLEKHB2,-0.2056368709236964,0.015234184362266909,GATA3,Stim48hr
PTPN7,-0.3896586679473597,-0.003020257073305121,GATA3,Stim48hr
PYHIN1,-1.2552102913098866,0.004958881776688295,GATA3,Stim48hr
RBM27,0.1253008742017431,-0.021018456287184482,GATA3,Stim48hr
RCSD1,-0.3290423992348026,0.09505417380349414,GATA3,Stim48hr
RESF1,0.2360317793630603,0.11527747785432409,GATA3,Stim48hr
RGS16,-0.7816265655512535,0.032916729268775334,GATA3,Stim48hr
RNF149,-0.3645391945283738,-0.00109046718065515,GATA3,Stim48hr
S100A11,-0.4668541507731855,0.004164638393142444,GATA3,Stim48hr
SLC48A1,0.2777890791699576,0.004478997528557918,GATA3,Stim48hr
SLFN5,-0.7231693318545621,0.01498546980555781,GATA3,Stim48hr
ST6GAL1,-0.2873234113229069,-0.005677044441509349,GATA3,Stim48hr
STAT1,0.3320447599296637,0.07570312225601132,GATA3,Stim48hr
STAT3,0.2781601684981876,0.03879681078661866,GATA3,Stim48hr
STK17A,0.295634353197762,-0.014098719352692784,GATA3,Stim48hr
STK17B,-0.4232352325969419,-0.015964194444123475,GATA3,Stim48hr
STOM,0.305039853457296,0.06438787054719712,GATA3,Stim48hr
SUSD1,-0.5068333893159022,,GATA3,Stim48hr
SYNE3,0.2528828193830932,0.00945529388809643,GATA3,Stim48hr
SYPL1,0.4318991582581957,-0.01811798546625739,GATA3,Stim48hr
TIFA,0.867939068705999,-0.029438612635337074,GATA3,Stim48hr
TNFRSF14,0.2233974939742856,0.09362807542620968,GATA3,Stim48hr
VAPA,-0.1211965166402468,-0.08284403286283294,GATA3,Stim48hr
WWP1,-0.4333864601165282,-0.0020861278627755525,GATA3,Stim48hr
ZBED5,0.284141828911978,0.05654189062847962,GATA3,Stim48hr
ZBP1,-1.8638952298535576,0.04372564467786505,GATA3,Stim48hr
ZNF792,-0.8227069300349389,-0.027440629734836127,GATA3,Stim48hr
AEBP2,0.2067368561785352,0.14930983014530452,GATA3,Rest
AOAH,-1.3929790228752532,0.1213356168848087,GATA3,Rest
APOBR,-0.6723231308945036,0.0582999024510183,GATA3,Rest
BLOC1S4,-0.314138580296666,-0.0067241676772421405,GATA3,Rest
C9orf72,-0.7155916806486698,-0.05562611130451931,GATA3,Rest
CABIN1,-0.2498957066525024,-0.025169979358076654,GATA3,Rest
CD48,-0.2624752163993443,-0.03844261422741502,GATA3,Rest
CISD3,0.2764204190860025,0.052935228322562346,GATA3,Rest
CLU,1.2003517111010582,-0.025483419467544257,GATA3,Rest
CMPK2,-0.4225870287001359,-0.13429930771146759,GATA3,Rest
COPE,-0.1427514609846543,,GATA3,Rest
CRIP1,-0.3560108285095701,-0.03662105580912012,GATA3,Rest
DPEP2,-1.3295291853628124,0.026462915522017176,GATA3,Rest
EBP,-0.4570897141440396,-0.04025466420388864,GATA3,Rest
GALM,0.2897987967934843,0.11983721159795842,GATA3,Rest
GIMAP6,-0.5083843775279855,0.045720213589553645,GATA3,Rest
GLG1,-0.2169848014776114,0.05704950759281757,GATA3,Rest
GNB1,0.1285087282932092,0.04750115187857905,GATA3,Rest
GORASP1,-0.7062820274985446,0.011678108519475983,GATA3,Rest
GRK2,0.1478575454305641,-0.08230801175768043,GATA3,Rest
GTF2IRD1,-2.700620999412417,0.0680834526052713,GATA3,Rest
HM13,-0.4457645774979551,-0.018777142183593797,GATA3,Rest
ICAM2,-0.5021885277408188,0.0083853271127073,GATA3,Rest
